ID,group,trial_number,trial_type,trial_role,token_opp,token_self,combined_earning,split_opp,split_self,splitperc_opp,splitperc_self,accept,accepted_amount,accepted_perc,proposed_perc,proposed_amount
1013,Control,25,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1013,Control,26,1,1,2,2,12,9.0,3.0,75,25,0.0,0.0,0.0,,
1013,Control,27,2,1,2,3,15,9.0,6.0,60,40,0.0,0.0,0.0,,
1013,Control,28,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1013,Control,29,2,2,2,3,15,7.5,7.5,50,50,,,,30.0,4.5
1013,Control,30,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1013,Control,31,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1013,Control,32,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1013,Control,33,2,1,2,3,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1013,Control,34,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1013,Control,35,1,1,2,2,12,10.8,1.2,90,10,0.0,0.0,0.0,,
1013,Control,36,2,1,1,2,9,5.4,3.6,60,40,0.0,0.0,0.0,,
1013,Control,37,2,1,1,2,9,6.75,2.25,75,25,0.0,0.0,0.0,,
1013,Control,38,1,2,1,1,6,3.0,3.0,50,50,,,,40.0,2.4
1013,Control,39,3,1,3,2,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1013,Control,40,1,1,1,1,6,4.8,1.2,80,20,0.0,0.0,0.0,,
1013,Control,41,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1013,Control,42,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1013,Control,43,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1013,Control,44,2,1,2,3,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1013,Control,45,3,1,3,2,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1013,Control,46,3,1,3,2,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1013,Control,47,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1013,Control,48,2,1,2,3,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1013,Control,49,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1013,Control,50,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1013,Control,51,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1015,Control,1,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1015,Control,2,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1015,Control,3,2,1,2,3,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1015,Control,4,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1015,Control,5,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1015,Control,6,1,1,2,2,12,9.6,2.4,80,20,1.0,2.4,20.0,,
1015,Control,7,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1015,Control,8,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1015,Control,9,1,1,2,2,12,9.0,3.0,75,25,1.0,3.0,25.0,,
1015,Control,10,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1015,Control,11,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1015,Control,12,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1015,Control,13,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1015,Control,14,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1015,Control,15,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1015,Control,16,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1015,Control,17,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1015,Control,18,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1015,Control,19,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1015,Control,20,2,2,2,3,15,7.5,7.5,50,50,,,,50.0,7.5
1015,Control,21,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1015,Control,22,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1015,Control,23,1,1,1,1,6,4.8,1.2,80,20,1.0,1.2,20.0,,
1015,Control,24,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1015,Control,25,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1015,Control,26,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1015,Control,27,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1015,Control,28,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1015,Control,29,1,1,1,1,6,4.2,1.8,70,30,1.0,1.8,30.0,,
1015,Control,30,1,1,3,3,18,13.5,4.5,75,25,1.0,4.5,25.0,,
1015,Control,31,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1015,Control,32,3,1,3,2,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1015,Control,33,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1015,Control,34,3,1,3,2,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1015,Control,35,2,1,2,3,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1015,Control,36,1,1,3,3,18,12.6,5.4,70,30,1.0,5.4,30.0,,
1015,Control,37,2,1,1,2,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1015,Control,38,3,1,3,2,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1015,Control,39,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1015,Control,40,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1015,Control,41,2,1,2,3,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1015,Control,42,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1015,Control,43,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1015,Control,44,1,2,1,1,6,3.0,3.0,50,50,,,,30.0,1.8
1015,Control,45,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1015,Control,46,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1015,Control,47,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1015,Control,48,3,1,2,1,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1015,Control,49,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1015,Control,50,3,1,3,2,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1015,Control,51,1,1,2,2,12,10.8,1.2,90,10,1.0,1.2,10.0,,
1016,Control,1,3,1,3,2,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1016,Control,2,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1016,Control,3,2,1,2,3,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1016,Control,4,3,1,2,1,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1016,Control,5,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1016,Control,6,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,7,2,1,1,2,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1016,Control,8,1,1,2,2,12,9.6,2.4,80,20,1.0,2.4,20.0,,
1016,Control,9,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1016,Control,10,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1016,Control,11,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1016,Control,12,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,13,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,14,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1016,Control,15,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1016,Control,16,1,1,3,3,18,13.5,4.5,75,25,1.0,4.5,25.0,,
1016,Control,17,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1016,Control,18,1,1,1,1,6,4.2,1.8,70,30,1.0,1.8,30.0,,
1016,Control,19,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1016,Control,20,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1016,Control,21,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1016,Control,22,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1016,Control,23,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1016,Control,24,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1016,Control,25,3,1,3,2,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1016,Control,26,1,1,2,2,12,10.8,1.2,90,10,1.0,1.2,10.0,,
1016,Control,27,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1016,Control,28,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1016,Control,29,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1016,Control,30,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,31,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1016,Control,32,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1016,Control,33,3,1,3,2,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1016,Control,34,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,35,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1016,Control,36,1,1,3,3,18,12.6,5.4,70,30,1.0,5.4,30.0,,
1016,Control,37,1,1,2,2,12,9.0,3.0,75,25,1.0,3.0,25.0,,
1016,Control,38,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,39,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1016,Control,40,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1016,Control,41,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1016,Control,42,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,43,3,1,3,2,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1016,Control,44,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1016,Control,45,1,1,1,1,6,4.8,1.2,80,20,1.0,1.2,20.0,,
1016,Control,46,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1016,Control,47,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1016,Control,48,2,1,2,3,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1016,Control,49,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1016,Control,50,2,2,2,3,15,7.5,7.5,50,50,,,,50.0,7.5
1016,Control,51,2,1,2,3,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1017,Control,1,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1017,Control,2,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1017,Control,3,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1017,Control,4,3,1,3,2,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1017,Control,5,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1017,Control,6,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1017,Control,7,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1017,Control,8,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1017,Control,9,1,1,1,1,6,4.2,1.8,70,30,1.0,1.8,30.0,,
1017,Control,10,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1017,Control,11,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1017,Control,12,1,1,3,3,18,13.5,4.5,75,25,1.0,4.5,25.0,,
1017,Control,13,2,1,2,3,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1017,Control,14,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1017,Control,15,2,1,2,3,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1017,Control,16,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1017,Control,17,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1017,Control,18,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1017,Control,19,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1017,Control,20,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1017,Control,21,1,1,1,1,6,4.8,1.2,80,20,1.0,1.2,20.0,,
1017,Control,22,1,1,2,2,12,10.8,1.2,90,10,1.0,1.2,10.0,,
1017,Control,23,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1017,Control,24,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1017,Control,25,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1017,Control,26,3,1,3,2,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1017,Control,27,1,1,2,2,12,9.6,2.4,80,20,1.0,2.4,20.0,,
1017,Control,28,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1017,Control,29,3,1,3,2,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1017,Control,30,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1017,Control,31,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1017,Control,32,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1017,Control,33,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1017,Control,34,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1017,Control,35,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1017,Control,36,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1017,Control,37,1,1,3,3,18,12.6,5.4,70,30,1.0,5.4,30.0,,
1017,Control,38,2,1,1,2,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1017,Control,39,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1017,Control,40,1,2,2,2,12,6.0,6.0,50,50,,,,40.0,4.8
1017,Control,41,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1017,Control,42,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1017,Control,43,3,1,3,2,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1017,Control,44,2,2,2,3,15,7.5,7.5,50,50,,,,50.0,7.5
1017,Control,45,2,1,2,3,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1017,Control,46,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1017,Control,47,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1017,Control,48,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1017,Control,49,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1017,Control,50,3,1,2,1,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1017,Control,51,1,1,2,2,12,9.0,3.0,75,25,1.0,3.0,25.0,,
1018,Control,1,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1018,Control,2,1,1,1,1,6,4.2,1.8,70,30,1.0,1.8,30.0,,
1018,Control,3,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1018,Control,4,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1018,Control,5,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,6,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1018,Control,7,2,1,1,2,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1018,Control,8,3,1,3,2,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1018,Control,9,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,10,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,11,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1018,Control,12,1,1,2,2,12,9.0,3.0,75,25,1.0,3.0,25.0,,
1018,Control,13,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1018,Control,14,1,1,3,3,18,12.6,5.4,70,30,1.0,5.4,30.0,,
1018,Control,15,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1018,Control,16,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,17,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1018,Control,18,1,1,3,3,18,13.5,4.5,75,25,1.0,4.5,25.0,,
1018,Control,19,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1018,Control,20,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1018,Control,21,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,22,3,1,3,2,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1018,Control,23,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1018,Control,24,2,1,2,3,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1018,Control,25,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1018,Control,26,2,2,2,3,15,7.5,7.5,50,50,,,,50.0,7.5
1018,Control,27,3,1,3,2,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1018,Control,28,2,1,2,3,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1018,Control,29,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,30,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1018,Control,31,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1018,Control,32,2,1,2,3,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1018,Control,33,3,1,2,1,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1018,Control,34,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,35,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1018,Control,36,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1018,Control,37,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1018,Control,38,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1018,Control,39,1,1,2,2,12,10.8,1.2,90,10,1.0,1.2,10.0,,
1018,Control,40,1,1,2,2,12,9.6,2.4,80,20,1.0,2.4,20.0,,
1018,Control,41,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1018,Control,42,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1018,Control,43,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1018,Control,44,1,1,1,1,6,4.8,1.2,80,20,1.0,1.2,20.0,,
1018,Control,45,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1018,Control,46,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1018,Control,47,3,1,3,2,15,13.5,1.5,90,10,1.0,1.5,10.0,,
1018,Control,48,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1018,Control,49,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1018,Control,50,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1018,Control,51,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1019,Control,1,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1019,Control,2,1,1,2,2,12,10.8,1.2,90,10,0.0,0.0,0.0,,
1019,Control,3,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1019,Control,4,1,1,1,1,6,4.2,1.8,70,30,1.0,1.8,30.0,,
1019,Control,5,3,1,3,2,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1019,Control,6,3,1,2,1,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1019,Control,7,1,2,2,2,12,6.0,6.0,50,50,,,,40.0,4.8
1019,Control,8,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1019,Control,9,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1019,Control,10,3,2,3,2,15,7.5,7.5,50,50,,,,50.0,7.5
1019,Control,11,1,1,2,2,12,9.0,3.0,75,25,1.0,3.0,25.0,,
1019,Control,12,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1019,Control,13,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1019,Control,14,3,1,3,2,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1019,Control,15,2,2,1,2,9,4.5,4.5,50,50,,,,40.0,3.6
1019,Control,16,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1019,Control,17,3,2,2,1,9,4.5,4.5,50,50,,,,40.0,3.6
1019,Control,18,2,1,2,3,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1019,Control,19,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1019,Control,20,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1019,Control,21,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1019,Control,22,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1019,Control,23,2,1,2,3,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1019,Control,24,1,1,1,1,6,4.8,1.2,80,20,0.0,0.0,0.0,,
1019,Control,25,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1019,Control,26,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1019,Control,27,3,1,3,2,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1019,Control,28,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1019,Control,29,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1019,Control,30,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1019,Control,31,3,2,2,1,9,4.5,4.5,50,50,,,,40.0,3.6
1019,Control,32,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1019,Control,33,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1019,Control,34,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1019,Control,35,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1019,Control,36,1,2,2,2,12,6.0,6.0,50,50,,,,40.0,4.8
1019,Control,37,2,1,2,3,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1019,Control,38,1,1,3,3,18,13.5,4.5,75,25,1.0,4.5,25.0,,
1019,Control,39,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1019,Control,40,2,2,2,3,15,7.5,7.5,50,50,,,,40.0,6.0
1019,Control,41,2,1,1,2,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1019,Control,42,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1019,Control,43,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1019,Control,44,3,1,3,2,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1019,Control,45,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1019,Control,46,1,1,3,3,18,12.6,5.4,70,30,1.0,5.4,30.0,,
1019,Control,47,1,2,1,1,6,3.0,3.0,50,50,,,,40.0,2.4
1019,Control,48,1,2,2,2,12,6.0,6.0,50,50,,,,30.0,3.6
1019,Control,49,1,1,2,2,12,9.6,2.4,80,20,1.0,2.4,20.0,,
1019,Control,50,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1019,Control,51,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1020,Control,1,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1020,Control,2,2,1,2,3,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1020,Control,3,1,1,2,2,12,10.8,1.2,90,10,0.0,0.0,0.0,,
1020,Control,4,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1020,Control,5,2,1,2,3,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1020,Control,6,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1020,Control,7,1,2,1,1,6,3.0,3.0,50,50,,,,50.0,3.0
1020,Control,8,2,1,1,2,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1020,Control,9,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1020,Control,10,2,1,1,2,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1020,Control,11,3,1,2,1,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1020,Control,12,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1020,Control,13,1,2,2,2,12,6.0,6.0,50,50,,,,50.0,6.0
1020,Control,14,2,1,1,2,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1020,Control,15,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1020,Control,16,2,1,2,3,15,9.0,6.0,60,40,1.0,6.0,40.0,,
1020,Control,17,1,1,3,3,18,13.5,4.5,75,25,1.0,4.5,25.0,,
1020,Control,18,2,2,1,2,9,4.5,4.5,50,50,,,,50.0,4.5
1020,Control,19,1,1,2,2,12,9.0,3.0,75,25,1.0,3.0,25.0,,
1020,Control,20,1,1,2,2,12,7.8,4.2,65,35,1.0,4.2,35.0,,
1020,Control,21,3,1,3,2,15,11.25,3.75,75,25,1.0,3.75,25.0,,
1020,Control,22,1,1,2,2,12,9.6,2.4,80,20,1.0,2.4,20.0,,
1020,Control,23,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1020,Control,24,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1020,Control,25,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1020,Control,26,1,1,1,1,6,4.2,1.8,70,30,1.0,1.8,30.0,,
1020,Control,27,1,1,1,1,6,4.8,1.2,80,20,1.0,1.2,20.0,,
1020,Control,28,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1020,Control,29,2,1,2,3,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1020,Control,30,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1020,Control,31,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1020,Control,32,2,1,2,3,15,12.0,3.0,80,20,1.0,3.0,20.0,,
1020,Control,33,2,2,1,2,9,4.5,4.5,50,50,,,,30.0,2.7
1020,Control,34,2,1,1,2,9,5.4,3.6,60,40,1.0,3.6,40.0,,
1020,Control,35,3,1,2,1,9,7.2,1.8,80,20,1.0,1.8,20.0,,
1020,Control,36,2,2,2,3,15,7.5,7.5,50,50,,,,40.0,6.0
1020,Control,37,3,2,2,1,9,4.5,4.5,50,50,,,,50.0,4.5
1020,Control,38,3,2,3,2,15,7.5,7.5,50,50,,,,40.0,6.0
1020,Control,39,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1020,Control,40,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
